# Ultima 6 Character Creation Korean Translation
# Format: KEY|KOREAN_TEXT

# === BASIC PROMPTS ===
CREATE_NAME|그대는 어떤 이름으로 불리길 원하는가?
GYPSY_Q6|"그대의 친구가 영성 단체에 가입하려 한다. 그대는 불확실한 그의 영적 순수성을 보증해달라는 요청을 받았다. 그대는 A) 정직하게(Honestly) 의구심을 표하겠는가, 아니면 B) 그의 영성(Spirituality) 증진을 바라며 보증을 서주겠는가?"
GYPSY_Q7|"주군은 자기가 용을 죽였다고 착각하고 있으나, 사실 그대의 창이 용을 쓰러뜨렸다는 증거가 있다. 질문을 받았을 때 그대는 A) 정직하게(Honestly) 공적을 주장하겠는가, 아니면 B) 겸손하게(Humbly) 주군이 믿는 대로 내버려 두겠는가?"
GYPSY_Q8|"그대는 결투 중에 숙적의 무기를 떨어뜨려 그를 제압했다. 그의 생사는 그대의 손에 달렸다. 그대는 A) 자애를(Compassion) 베풀어 항복을 받아주겠는가, 아니면 B) 용맹한(Valor) 결투가에게 기대되는 대로 그를 처단하겠는가?"
GYPSY_Q9|"20년 만에 그대의 절친한 친구들을 죽인 원수를 찾아냈다. 그런데 알고 보니 그는 한 어린 소녀를 홀로 부양하는 유일한 보호자였다. 그대는 A) 아이를 생각하는 자애로운(Compassion) 마음으로 그를 살려주겠는가, 아니면 B) 정의의(Justice) 이름으로 그를 처단하겠는가?"
GYPSY_Q10|"그대와 친구들은 패배하여 퇴각 명령을 받았다. 명령을 거스르고 그대는 A) 자애로운(Compassion) 마음으로 멈춰 서서 부상당한 동료를 돕겠는가, 아니면 B) 다른 이들이 도망칠 수 있도록 추격해오는 적을 막아내는 희생을(Sacrifice) 치르겠는가?"
GYPSY_Q11|"그대는 죄수들을 고문하는 주군을 받들기로 맹세했다. 매일 밤 죄수들의 비명소리가 들려온다. 그대는 A) 자애로운(Compassion) 마음으로 이 사실을 고발하겠는가, 아니면 B) 맹세에 따른 명예를(Honor) 지키기 위해 모르는 척하겠는가?"
GYPSY_Q12|"그대는 모든 생명을 신성하게 보존하라고 배웠다. 한 남자가 독사에 물려 치명상을 입고 고통 없는 죽음을 구걸하고 있다. 그대는 A) 자애로운(Compassion) 마음으로 그의 고통을 끝내주겠는가, 아니면 B) 영성(Spirituality) 신념에 따라 외면하겠는가?"
GYPSY_Q13|"국왕 경비대장이 아이들을 격려하기 위해 병원을 방문해 용맹한 무용담을 들려줄 사람을 찾는다. 그대는 A) 자애를(Compassion) 베풀기 위해 허풍쟁이 역할을 자처하겠는가, 아니면 B) 겸손하게(Humbly) 다른 이에게 양보하겠는가?"
GYPSY_Q14|"그대는 타국 주군과의 중요한 조약을 체결하러 파견되었다. 주군은 제안에는 동의하지만 저녁 식사 자리에서 그대의 조국을 모욕한다. 그대는 A) 용맹하게(Valor) 모욕을 견디겠는가, 아니면 B) 정의롭게(Justice) 일어나 사과를 요구하겠는가?"
GYPSY_Q15|"건장한 기사가 앞을 가로막으며 음식을 내놓으라고 위협한다. 그대는 A) 용맹하게(Valor) 거절하고 기사와 싸우겠는가, 아니면 B) 굶주린 기사에게 식량을 내어주는 희생을(Sacrifice) 하겠는가?"
GYPSY_Q16|"전투 중 지휘관의 빈 텐트를 지키라는 명령을 받았다. 전황은 나빠지고 그대는 동료들을 돕고 싶은 열망에 사로잡힌다. 그대는 A) 용맹하게(Valor) 전장으로 뛰어들겠는가, 아니면 B) 초소를 지키며 명예를(Honor) 다하겠는가?"
GYPSY_Q17|"동네 불량배가 싸움을 걸어온다. 그대는 A) 용맹하게(Valor) 그 악당을 때려눕히겠는가, 아니면 B) 결국 아무런 득이 되지 않음을 영성(Spirituality) 으로 깨닫고 거절하겠는가?"
GYPSY_Q18|"그대는 평범한 어부지만 뛰어난 검술가다. 주군이 평화 유지군을 소집하려 한다. 그대는 A) 용맹함을(Valor) 증명하기 위해 소집에 응하겠는가, 아니면 B) 주군의 형식적인 기사 서임 제안을 겸손하게(Humbly) 거절하겠는가?"
GYPSY_Q19|"전투 중 한 동료가 초소를 버리고 도망쳐 많은 이를 위험에 빠뜨리는 것을 보았다. 도망치던 그는 적들에게 포위당했다. 그대는 A) 정의롭게(Justice) 그가 혼자 싸우도록 내버려 두겠는가, 아니면 B) 그를 돕기 위해 자신의 목숨을 거는 희생을(Sacrifice) 치르겠는가?"
GYPSY_Q20|"그대는 주군의 모든 명령을 따르기로 맹세했다. 그는 탐나는 땅을 차지하기 위해 주인을 쫓아내라고 명한다. 그대는 A) 정의를(Justice) 위해 거절하고 불명예를 안겠는가, 아니면 B) 맹세를 지키는 명예를(Honor) 위해 땅 주인을 쫓아내겠는가?"
GYPSY_Q21|"그대는 모든 사람에게 미덕이 있다고 믿는다. 한 불량배가 주군의 물건을 훔치는 것을 보았다. 그대는 A) 그를 정의의(Justice) 심판대에 세우겠는가, 아니면 B) 그가 선한 영성(Spirituality) 의 길로 돌아오도록 직접 설득하겠는가?"
GYPSY_Q22|"그대는 생명을 지키기 위해 홀로 거대한 용을 처치했으나 아무도 보지 못했다. 가난한 전사가 자기가 죽였다며 보상을 요구한다. 그대는 A) 정의롭게(Justice) 나서서 보상을 주장하겠는가, 아니면 B) 스스로의 자부심만으로 만족하며 겸손하게(Humbly) 살아가겠는가?"
GYPSY_Q23|"그대는 살인 용의자를 압송하기로 맹세한 현상금 사냥꾼이다. 포획 후 그가 무죄임을 믿게 되었다. 그대는 A) 자신의 신념을 위해 막대한 현상금을 포기하는 희생을(Sacrifice) 하겠는가, 아니면 B) 약속대로 그를 인도하여 명예를(Honor) 지키겠는가?"
GYPSY_Q24|"그대는 평생 자선과 의로운 일에 헌신했다. 여관 주인인 삼촌이 병석에 누워 그대에게 주점을 맡아달라고 부탁한다. 그대는 A) 친척을 돕기 위해 순수한 삶을 포기하는 희생을(Sacrifice) 하겠는가, 아니면 B) 거절하고 영성(Spirituality) 의 부름을 따르겠는가?"
GYPSY_Q25|"그대는 부유한 노상인이며 죽음이 가까웠다. 그대는 A) 굶주린 아이들을 위해 전 재산을 내어주는 희생을(Sacrifice) 하여 대중의 찬사를 받겠는가, 아니면 B) 겸손하게(Humbly) 남은 여생을 살며 후계자들에게 재산을 물려주겠는가?"
GYPSY_Q26|"젊은 시절 연인과 결혼을 약속했으나, 지금은 먼 땅에서 신성한 퀘스트를 수행 중이다. 연인이 맹세를 지켜달라고 간청한다. 그대는 A) 결혼 약속을 지키는 명예를(Honor) 택하겠는가, 아니면 B) 영성(Spirituality) 의 성전을 계속하겠는가?"
GYPSY_Q27|"그대는 평범한 양치기지만, 멸문한 줄 알았던 고귀한 가문의 유일한 후손임이 밝혀졌다. 그대는 A) 조상의 무기를 들고 명예롭게(Honor) 가문을 일으키겠는가, 아니면 B) 소박하고 평화로운 삶을 겸손하게(Humbly) 이어가겠는가?"
GYPSY_Q28|"부모님이 그대가 견습생이 되길 바라며 두 자리를 제안하셨다. 그대는 A) 훌륭한 영성(Spirituality) 단체의 수사가 되겠는가, 아니면 B) 마을 구두 수선공의 조수가 되어 겸손하게(Humbly) 일하겠는가?"

# === VIRTUE NAMES ===
VIRTUE_HONESTY|정직
VIRTUE_COMPASSION|자애
VIRTUE_VALOR|용기
VIRTUE_JUSTICE|정의
VIRTUE_SACRIFICE|희생
VIRTUE_HONOR|명예
VIRTUE_SPIRITUALITY|영성
VIRTUE_HUMILITY|겸손
