# Item descriptions - Korean translation (indexed by tile_num)
# Format: TILE_NUM|ENGLISH|KOREAN
# Reference: docs/ultima6/tileflag_data.txt

0|Nothing|아무것도 없음
180|wall|벽
181|wall|벽
182|wall|벽
183|wall|벽
184|wall|벽
185|wall|벽
186|wall|벽
187|wall|벽
188|field|들판
189|crops|농작물
190|crops|농작물
191|crops|농작물
192|arrow slit|화살 구멍
193|arrow slit|화살 구멍
194|arrow slit|화살 구멍
195|arrow slit|화살 구멍
196|window|창문
197|window|창문
198|crenellation|흉벽
199|crenellation|흉벽
200|window|창문
201|window|창문
202|window|창문
203|window|창문
204|window|창문
205|window|창문
207|wall|벽
208|floor|바닥
209|floor|바닥
210|floor|바닥
211|floor|바닥
212|floor|바닥
213|floor|바닥
214|floor|바닥
215|floor|바닥
216|floor|바닥
217|wet earth|젖은 흙
218|puddle|물웅덩이
219|pool|연못
220|floor|바닥
221|lava|용암
222|lava|용암
223|lava|용암
224|pyramid|피라미드
225|pyramid|피라미드
226|pyramid|피라미드
227|pyramid|피라미드
228|pyramid|피라미드
229|pyramid|피라미드
230|pyramid|피라미드
231|pyramid|피라미드
232|pyramid|피라미드
233|pyramid|피라미드
234|pyramid|피라미드
235|pyramid|피라미드
236|pyramid|피라미드
237|pyramid|피라미드
238|pyramid|피라미드
239|pyramid|피라미드
240|earthen wall|흙벽
241|earthen wall|흙벽
242|earthen wall|흙벽
243|earthen wall|흙벽
244|earthen wall|흙벽
245|earthen wall|흙벽
246|earthen wall|흙벽
247|earthen wall|흙벽
248|earthen wall|흙벽
249|earthen wall|흙벽
250|earthen wall|흙벽
251|earthen wall|흙벽
252|ethereal void|에테르 공간
253|ethereal void|에테르 공간
254|ethereal void|에테르 공간
266|wall|벽
267|wall|벽
268|wall|벽
269|wall|벽
270|wall|벽
271|wall|벽
344|lightsource|광원
345|lightsource|광원
346|lightsource|광원
347|lightsource|광원
348|force field|역장
349|force field|역장
350|force field|역장
351|force field|역장
361|moonstone|문스톤
362|moonstone|문스톤
363|moonstone|문스톤
398|sling stone|투석돌
399|moonstone|문스톤
512|leather helm|가죽 투구
513|chain coif|사슬 두건
514|iron helm|철 투구
515|spiked helm|가시 투구
516|winged helm|날개 투구
517|brass helm|황동 투구
518|Gargoyle Helm|가고일 투구
519|magic helm|마법 투구
520|wooden shield|나무 방패
521|curved heater|곡면 방패
522|winged shield|날개 방패
523|kite shield|카이트 방패
524|spiked shield|가시 방패
525|black shield|검은 방패
526|door shield|문 방패
527|magic shield|마법 방패
528|cloth armour|천 갑옷
529|leather armor|가죽 갑옷
530|ring mail|링 메일
531|scale mail|스케일 메일
532|chain mail|사슬 갑옷
533|plate mail|판금 갑옷
534|magic armour|마법 갑옷
535|spiked collar|가시 목걸이
536|guild belt|길드 벨트
537|Gargoyle Belt|가고일 벨트
538|leather boots|가죽 장화
539|swamp boots|늪지 장화
540|earth|흙
541|floor|바닥
542|floor|바닥
543|floor|바닥
544|sling|투석구
545|club|곤봉
546|main gauche|망고슈
547|spear|창
548|throwing axe|투척 도끼
549|dagger|단검
550|mace|철퇴
551|morning star|모닝스타
552|bow|활
553|crossbow|석궁
554|sword|검
555|two-handed hammer|양손 망치
556|two-handed axe|양손 도끼
557|two-handed sword|양손 검
558|halberd|미늘창
559|glass sword|유리 검
560|boomerang|부메랑
561|triple crossbow|삼중 석궁
562|force field|역장
563|wizard eye|마법사의 눈
564|web|거미줄
565|magic bow|마법 활
566|arrow|화살
567|bolt|볼트
568|spellbook|마법서
569|spell|주문
570|Codex|코덱스
571|Book of Prophecies|예언서
572|Book of Circles|원의 서
573|Vortex Cube|볼텍스 큐브
574|lock pick|자물쇠 따개
575|key|열쇠
576|black pearl|검은 진주
576|black pearls|검은 진주
577|bit of blood moss|피 이끼 조각
577|bits of blood moss|피 이끼 조각
578|bulb of garlic|마늘
578|bulbs of garlic|마늘
579|ginseng root|인삼 뿌리
579|ginseng roots|인삼 뿌리
580|mandrake root|만드레이크 뿌리
580|mandrake roots|만드레이크 뿌리
581|nightshade mushroom|독버섯
581|nightshade mushrooms|독버섯
582|strand of spidersilk|거미줄
582|strands of spidersilk|거미줄
583|bit of sulfurous ash|유황재 조각
583|bits of sulfurous ash|유황재 조각
584|moonstone|문스톤
585|moonstone|문스톤
586|moonstone|문스톤
587|moonstone|문스톤
588|moonstone|문스톤
589|moonstone|문스톤
590|moonstone|문스톤
591|moonstone|문스톤
592|ankh amulet|앙크 부적
593|snake amulet|뱀 부적
594|Amulet of Submission|복종의 부적
595|gem|보석
596|staff|지팡이
597|lightning wand|번개 지팡이
598|fire wand|불 지팡이
599|storm cloak|폭풍 망토
600|ring|반지
601|flask of oil|기름 병
602|red gate|붉은 문
603|moongate|문게이트
604|moongate|문게이트
605|moongate|문게이트
606|gavel|망치
607|Orb of the Moons|달의 오브
608|gold coin|금화
609|gold nugget|금 덩어리
610|torch|횃불
611|lit torch|켜진 횃불
612|Zu Ylem|주 일렘
613|silver snake venom|은뱀 독
614|sextant|육분의
615|spinning wheel|물레
616|bunch of grapes|포도 송이
617|butter|버터
618|Gargish vocabulary|가고일어 사전
619|open chest|열린 상자
620|chest|상자
621|locked chest|잠긴 상자
622|magically locked chest|마법으로 잠긴 상자
623|backpack|배낭
624|scythe|낫
625|pitchfork|쇠스랑
626|rake|갈퀴
627|pick|곡괭이
628|shovel|삽
629|hoe|괭이
630|wooden ladder|나무 사다리
631|yoke|멍에
632|oven spatula|오븐 주걱
633|rolling pin|밀대
634|spatula|주걱
635|ladle|국자
636|cooking sheet|조리판
637|cleaver|식칼
638|knife|칼
639|knife|칼
640|wine|포도주
641|mead|벌꿀술
642|ale|맥주
643|wine glass|와인잔
644|plate|접시
645|mug|머그잔
646|silverware|은식기
647|candle|촛불
648|lit candle|켜진 촛불
649|mirror|거울
650|mirror|거울
651|broken mirror|깨진 거울
652|tunic|튜닉
653|hanger|옷걸이
654|dress|드레스
655|skillet|프라이팬
656|loaf of bread|빵
657|portion of meat|고기
658|rolls|롤빵
659|cake|케이크
660|cheese|치즈
661|ham|햄
662|horse carcass|말 사체
663|horse carcass|말 사체
664|horse chops|말고기
665|skewer|꼬치
666|skewer|꼬치
667|skewer|꼬치
668|skewer|꼬치
669|pants|바지
670|plant|식물
671|flowers|꽃
672|wall mount|벽걸이
673|wall mount|벽걸이
674|decorative sword|장식 검
675|decorative sword|장식 검
676|decorative shield|장식 방패
677|decorative shield|장식 방패
678|picture|그림
679|picture|그림
680|tapestry|태피스트리
681|tapestry|태피스트리
682|candelabra|촛대
683|candelabra|촛대
684|person sleeping|잠자는 사람
685|person sleeping|잠자는 사람
686|cauldron|가마솥
687|cauldron|가마솥
688|ship deed|배 증서
689|inkwell|잉크병
690|book|책
691|scroll|두루마리
692|panpipes|팬파이프
693|telescope|망원경
694|crystal ball|수정구
695|harpsichord|하프시코드
696|harp|하프
697|lute|류트
698|clock|시계
699|clock|시계
700|endtable|탁자
701|water vase|꽃병
702|stove|화덕
703|stove|화덕
704|bed|침대
705|bed|침대
706|bed|침대
707|bed|침대
708|bed|침대
709|bed|침대
710|bed|침대
711|bed|침대
712|bed|침대
713|bed|침대
714|bed|침대
715|bed|침대
716|fireplace|벽난로
717|fireplace|벽난로
718|fireplace|벽난로
719|fireplace|벽난로
720|stalagmite|석순
721|stalagmite|석순
722|sack of grain|곡식 자루
723|sack of flour|밀가루 자루
724|remains|유해
725|remains|유해
726|remains|유해
727|remains|유해
728|rubber ducky|고무 오리
729|Urn of Ashes|재 항아리
730|fumarole|분기공
731|spikes|가시
732|trap|함정
733|switch|스위치
734|switch|스위치
735|electric field|전기장
736|chest of drawers|서랍장
737|chest of drawers|서랍장
738|chest of drawers|서랍장
739|chest of drawers|서랍장
740|desk|책상
741|desk|책상
742|bucket|양동이
743|bucket of water|물 양동이
744|bucket of milk|우유 양동이
745|churn|버터 통
746|beehive|벌통
747|honey jar|꿀단지
748|jar of honey|꿀단지
749|cloth|천
750|cloth|천
751|cloth|천
752|open barrel|열린 통
753|sealed barrel|밀봉된 통
754|jug|주전자
755|bag|가방
756|cask|작은 통
757|bale of wool|양모 뭉치
758|basket|바구니
759|open crate|열린 상자
760|crate|상자
761|small jug|작은 주전자
762|small jug|작은 주전자
763|milk bottle|우유병
764|wheat|밀
765|wheat|밀
766|wheat|밀
767|wheat|밀
768|vat|큰 통
769|vat|큰 통
770|vat|큰 통
771|vat|큰 통
772|wine cask|와인 통
773|wine cask|와인 통
774|wine cask|와인 통
775|wine cask|와인 통
776|cutting table|절단대
777|cutting table|절단대
778|cutting table|절단대
779|cutting table|절단대
780|loom|베틀
781|loom|베틀
782|loom|베틀
783|loom|베틀
784|hood|두건
785|hood|두건
786|hood|두건
787|hood|두건
788|fire|불
789|fire|불
790|fire|불
791|fire|불
792|horseshoes|말굽쇠
793|pliers|펜치
794|hammer|망치
795|water trough|물통
796|brazier|화로
797|flaming brazier|타오르는 화로
798|holy brazier|성스러운 화로
799|holy brazier|성스러운 화로
800|rod|막대
801|rod|막대
802|hook|갈고리
803|meat|고기
804|ribs|갈비
805|dead animal|죽은 동물
806|fan|부채
807|mouse hole|쥐구멍
808|mouse hole|쥐구멍
809|wine press|포도 압착기
810|wine press|포도 압착기
811|wine press|포도 압착기
812|wine press|포도 압착기
813|stable|마구간
814|stable|마구간
815|stable|마구간
816|bookshelf|책장
817|bookshelf|책장
818|bookshelf|책장
819|bookshelf|책장
820|bookshelf|책장
821|bookshelf|책장
822|bookshelf|책장
823|bookshelf|책장
824|bookshelf|책장
825|bookshelf|책장
826|bookshelf|책장
827|bookshelf|책장
828|anvil|모루
829|bellows|풀무
830|oven|오븐
831|flag|깃발
832|cannon|대포
833|cannon|대포
834|cannon|대포
835|cannon|대포
836|cannon balls|포탄
837|powder keg|화약통
838|lit powder|점화된 화약
839|foot rail|발판
840|foot rail|발판
841|foot rail|발판
842|foot rail|발판
843|foot rail|발판
844|spool of thread|실 꾸러미
845|spool of silk|비단 꾸러미
846|pennant|페넌트
847|pennant|페넌트
848|table|탁자
849|table|탁자
850|table|탁자
851|shadow|그림자
852|table|탁자
853|table|탁자
854|shadow|그림자
855|spittoon|타구
856|well|우물
857|well|우물
858|well|우물
859|well|우물
860|fountain|분수
861|sundial|해시계
862|bell|종
863|bell|종
864|table|탁자
865|table|탁자
866|table|탁자
867|shadow|그림자
868|table|탁자
869|table|탁자
870|shadow|그림자
871|silk cloth|비단
872|Rune of Honesty|정직의 룬
873|Rune of Compassion|자비의 룬
874|Rune of Valor|용기의 룬
875|Rune of Justice|정의의 룬
876|Rune of Sacrifice|희생의 룬
877|Rune of Honor|명예의 룬
878|Rune of Spirituality|영성의 룬
879|Rune of Humility|겸손의 룬
880|table|탁자
881|table|탁자
882|table|탁자
883|shadow|그림자
884|shadow|그림자
885|chair|의자
886|chair|의자
887|chair|의자
888|chair|의자
889|campfire|모닥불
890|campfire|모닥불
891|cross|십자가
892|tombstone|묘비
893|protection ring|보호의 반지
894|regeneration ring|재생의 반지
895|invisibility ring|투명의 반지
896|table leg|탁자 다리
897|shadow|그림자
898|table leg|탁자 다리
899|shadow|그림자
900|stocks|족쇄
901|stocks|족쇄
902|person in stocks|족쇄에 갇힌 사람
903|person in stocks|족쇄에 갇힌 사람
904|fishing pole|낚싯대
905|fish|물고기
906|grave|무덤
907|guillotine|단두대
908|guillotine|단두대
909|guillotine|단두대
910|guillotine|단두대
911|guillotine|단두대
912|lever|레버
913|lever|레버
914|drawbridge|도개교
915|drawbridge|도개교
916|drawbridge|도개교
917|drawbridge|도개교
918|drawbridge|도개교
919|drawbridge|도개교
920|drawbridge|도개교
921|drawbridge|도개교
922|drawbridge|도개교
923|balloon plans|기구 설계도
924|doorsill|문턱
925|doorway|출입구
926|doorway|출입구
927|doorway|출입구
928|steps|계단
929|steps|계단
930|steps|계단
931|steps|계단
932|tile|타일
933|tile|타일
934|tile|타일
935|yew log|주목 통나무
936|blue potion|파란 물약
937|red potion|빨간 물약
938|yellow potion|노란 물약
939|green potion|초록 물약
940|orange potion|주황 물약
941|purple potion|보라 물약
942|black potion|검은 물약
943|white potion|흰 물약
944|steps|계단
945|steps|계단
946|steps|계단
947|steps|계단
948|steps|계단
949|steps|계단
950|steps|계단
951|steps|계단
952|steps|계단
953|steps|계단
954|steps|계단
955|steps|계단
956|yew board|주목 널판
957|passthrough|통로
958|passthrough|통로
959|passthrough|통로
960|table|탁자
961|table|탁자
962|table|탁자
963|table|탁자
964|table|탁자
965|table|탁자
966|table|탁자
967|table|탁자
968|table|탁자
969|table|탁자
970|table|탁자
971|table|탁자
972|table|탁자
973|passthrough|통로
974|passthrough|통로
975|passthrough|통로
976|fence|울타리
977|fence|울타리
978|fence|울타리
979|fence|울타리
980|fence|울타리
981|fence|울타리
982|bars|철창
983|bars|철창
984|bars|철창
985|bars|철창
986|bars|철창
987|bars|철창
988|bars|철창
989|anchor|닻
990|rope|밧줄
991|pole|기둥
992|walkway|보도
993|walkway|보도
994|walkway|보도
995|walkway|보도
996|walkway|보도
997|walkway|보도
998|walkway|보도
999|walkway|보도
1000|walkway|보도
1001|walkway|보도
1002|walkway|보도
1003|walkway|보도
1004|walkway|보도
1005|walkway|보도
1006|walkway|보도
1007|walkway|보도
1008|water wheel|물레방아
1009|crank|크랭크
1010|log saw|통나무 톱
1011|mill stone|맷돌
1012|shaft|축
1013|shaft|축
1014|shaft|축
1015|shaft|축
1016|gearwork|톱니바퀴
1017|gearwork|톱니바퀴
1018|gearwork|톱니바퀴
1019|gearwork|톱니바퀴
1020|chain|사슬
1021|lightsource|광원
1022|heatsource|열원
1023|xylophone|실로폰
1024|oaken door|참나무 문
1025|oaken door|참나무 문
1026|oaken door|참나무 문
1027|oaken door|참나무 문
1028|oaken door|참나무 문
1029|oaken door|참나무 문
1030|oaken door|참나무 문
1031|oaken door|참나무 문
1032|oaken door|참나무 문
1033|oaken door|참나무 문
1034|oaken door|참나무 문
1035|oaken door|참나무 문
1036|oaken door|참나무 문
1037|oaken door|참나무 문
1038|oaken door|참나무 문
1039|oaken door|참나무 문
1040|windowed door|창문 달린 문
1041|windowed door|창문 달린 문
1042|windowed door|창문 달린 문
1043|windowed door|창문 달린 문
1044|windowed door|창문 달린 문
1045|windowed door|창문 달린 문
1046|windowed door|창문 달린 문
1047|windowed door|창문 달린 문
1048|windowed door|창문 달린 문
1049|windowed door|창문 달린 문
1050|windowed door|창문 달린 문
1051|windowed door|창문 달린 문
1052|windowed door|창문 달린 문
1053|windowed door|창문 달린 문
1054|windowed door|창문 달린 문
1055|windowed door|창문 달린 문
1056|cedar door|삼나무 문
1057|cedar door|삼나무 문
1058|cedar door|삼나무 문
1059|cedar door|삼나무 문
1060|cedar door|삼나무 문
1061|cedar door|삼나무 문
1062|cedar door|삼나무 문
1063|cedar door|삼나무 문
1064|cedar door|삼나무 문
1065|cedar door|삼나무 문
1066|cedar door|삼나무 문
1067|cedar door|삼나무 문
1068|cedar door|삼나무 문
1069|cedar door|삼나무 문
1070|cedar door|삼나무 문
1071|cedar door|삼나무 문
1072|steel door|철문
1073|steel door|철문
1074|steel door|철문
1075|steel door|철문
1076|steel door|철문
1077|steel door|철문
1078|steel door|철문
1079|steel door|철문
1080|steel door|철문
1081|steel door|철문
1082|steel door|철문
1083|steel door|철문
1084|steel door|철문
1085|steel door|철문
1086|steel door|철문
1087|steel door|철문
1088|doorway|출입구
1089|doorway|출입구
1090|doorway|출입구
1091|doorway|출입구
1092|doorway|출입구
1093|doorway|출입구
1094|doorway|출입구
1095|doorway|출입구
1096|doorway|출입구
1097|doorway|출입구
1098|doorway|출입구
1099|doorway|출입구
1100|archway|아치형 통로
1101|archway|아치형 통로
1102|archway|아치형 통로
1103|archway|아치형 통로
1104|carpet|양탄자
1105|carpet|양탄자
1106|carpet|양탄자
1107|carpet|양탄자
1108|carpet|양탄자
1109|carpet|양탄자
1110|carpet|양탄자
1111|carpet|양탄자
1112|carpet|양탄자
1113|carpet|양탄자
1114|carpet|양탄자
1115|carpet|양탄자
1116|carpet|양탄자
1117|carpet|양탄자
1118|carpet|양탄자
1119|carpet|양탄자
1120|carpet|양탄자
1121|carpet|양탄자
1122|cookfire|조리용 불
1123|cookfire|조리용 불
1124|logs|통나무
1125|logs|통나무
1126|cookfire|조리용 불
1127|cookfire|조리용 불
1128|cookfire|조리용 불
1129|cookfire|조리용 불
1130|logs|통나무
1131|logs|통나무
1132|cookfire|조리용 불
1133|cookfire|조리용 불
1134|ladder|사다리
1135|ladder|사다리
1136|trellis|격자
1137|trellis|격자
1138|trellis|격자
1139|trellis|격자
1140|volcano|화산
1141|crater|분화구
1142|hole|구멍
1143|bones|뼈
1144|bones|뼈
1145|bones|뼈
1146|bones|뼈
1147|bones|뼈
1148|portcullis|격자문
1149|portcullis|격자문
1150|portcullis|격자문
1151|portcullis|격자문
1152|stone table|돌 탁자
1153|stone table|돌 탁자
1154|stone lion|돌 사자
1155|stone lion|돌 사자
1156|silver horn|은나팔
1157|silver horn|은나팔
1158|floor|바닥
1159|stone|돌
1160|lamppost|가로등
1161|lamppost|가로등
1162|lamppost|가로등
1163|lamppost|가로등
1164|fire field|불의 장
1165|poison field|독의 장
1166|protection field|보호의 장
1167|sleep field|수면의 장
1168|statue|조각상
1169|statue|조각상
1170|statue|조각상
1171|statue|조각상
1172|guardian|수호자
1173|guardian|수호자
1174|guardian|수호자
1175|guardian|수호자
1176|guardian|수호자
1177|guardian|수호자
1178|guardian|수호자
1179|guardian|수호자
1180|pool|연못
1181|pool|연못
1182|pool|연못
1183|pool|연못
1184|monolith|모노리스
1185|monolith|모노리스
1186|monolith|모노리스
1187|monolith|모노리스
1188|pillar|기둥
1189|pillar|기둥
1190|pillar|기둥
1191|pillar|기둥
1192|book stand|독서대
1193|book stand|독서대
1194|mine shaft|광산 갱도
1195|mine shaft|광산 갱도
1196|dungeon|던전
1197|dungeon|던전
1198|cave|동굴
1199|cave|동굴
1200|throne|왕좌
1201|throne|왕좌
1202|throne|왕좌
1203|throne|왕좌
1204|altar|제단
1205|altar|제단
1206|altar|제단
1207|altar|제단
1208|Altar of singularity|특이점의 제단
1209|altar of singularity|특이점의 제단
1210|altar of singularity|특이점의 제단
1211|altar of singularity|특이점의 제단
1212|mat|매트
1213|mat|매트
1214|mat|매트
1215|mat|매트
1216|government sign|관청 표지판
1217|government sign|관청 표지판
1218|food shop|식품점
1219|food shop|식품점
1220|guild|길드
1221|guild|길드
1222|shipwright|조선소
1223|shipwright|조선소
1224|armoury|무기점
1225|armoury|무기점
1226|fletcher|화살 제조소
1227|fletcher|화살 제조소
1228|herbalist|약초상
1229|herbalist|약초상
1230|textile shop|직물점
1231|textile shop|직물점
1232|healer|치료사
1233|healer|치료사
1234|blacksmith|대장간
1235|blacksmith|대장간
1236|inn|여관
1237|inn|여관
1238|sign|표지판
1239|sign|표지판
1240|sign|표지판
1241|sign|표지판
1242|sign|표지판
1243|sign|표지판
1244|sign|표지판
1245|sign|표지판
1246|signpost|표지판
1247|sign|표지판
1248|gargoyle sign|가고일 표지판
1249|sign|표지판
1250|sign|표지판
1251|sign|표지판
1252|secret door|비밀문
1253|secret door|비밀문
1254|secret door|비밀문
1255|secret door|비밀문
1256|egg|알
1257|charge|충전
1258|effect|효과
1259|blood|피
1260|blood|피
1261|blood|피
1262|dead body|시체
1263|dead body|시체
1264|dead body|시체
1265|dead body|시체
1266|dead body|시체
1267|dead body|시체
1268|dead body|시체
1269|dead body|시체
1270|dead body|시체
1271|pile of bones|뼈 무더기
1272|dead cyclops|죽은 사이클롭스
1273|dead cyclops|죽은 사이클롭스
1274|dead cyclops|죽은 사이클롭스
1275|dead cyclops|죽은 사이클롭스
1276|dead gargoyle|죽은 가고일
1277|dead gargoyle|죽은 가고일
1278|dead gargoyle|죽은 가고일
1279|dead gargoyle|죽은 가고일
1280|giant rat|거대 쥐
1281|giant rat|거대 쥐
1282|giant rat|거대 쥐
1283|giant rat|거대 쥐
1284|giant rat|거대 쥐
1285|giant rat|거대 쥐
1286|giant rat|거대 쥐
1287|giant rat|거대 쥐
1288|insects|곤충
1289|insects|곤충
1290|insects|곤충
1291|insects|곤충
1292|giant bat|거대 박쥐
1293|giant bat|거대 박쥐
1294|giant bat|거대 박쥐
1295|giant bat|거대 박쥐
1296|giant squid|거대 오징어
1297|giant squid|거대 오징어
1298|giant squid|거대 오징어
1299|giant squid|거대 오징어
1300|sea serpent|바다뱀
1301|sea serpent|바다뱀
1302|sea serpent|바다뱀
1303|sea serpent|바다뱀
1304|sea serpent|바다뱀
1305|sea serpent|바다뱀
1306|sea serpent|바다뱀
1307|sea serpent|바다뱀
1308|reaper|리퍼
1309|reaper|리퍼
1310|reaper|리퍼
1311|reaper|리퍼
1312|sheep|양
1313|sheep|양
1314|sheep|양
1315|sheep|양
1316|sheep|양
1317|sheep|양
1318|sheep|양
1319|sheep|양
1320|dog|개
1321|dog|개
1322|dog|개
1323|dog|개
1324|dog|개
1325|dog|개
1326|dog|개
1327|dog|개
1328|deer|사슴
1329|deer|사슴
1330|deer|사슴
1331|deer|사슴
1332|deer|사슴
1333|deer|사슴
1334|deer|사슴
1335|deer|사슴
1336|wolf|늑대
1337|wolf|늑대
1338|wolf|늑대
1339|wolf|늑대
1340|wolf|늑대
1341|wolf|늑대
1342|wolf|늑대
1343|wolf|늑대
1344|ghost|유령
1345|ghost|유령
1346|ghost|유령
1347|ghost|유령
1348|gremlin|그렘린
1349|gremlin|그렘린
1350|gremlin|그렘린
1351|gremlin|그렘린
1352|mouse|쥐
1353|mouse|쥐
1354|mouse|쥐
1355|mouse|쥐
1356|gazer|게이저
1357|gazer|게이저
1358|gazer|게이저
1359|gazer|게이저
1360|bird|새
1361|bird|새
1362|bird|새
1363|bird|새
1364|corpser|콥서
1365|corpser|콥서
1366|corpser|콥서
1367|corpser|콥서
1368|snake|뱀
1369|snake|뱀
1370|snake|뱀
1371|snake|뱀
1372|snake|뱀
1373|snake|뱀
1374|snake|뱀
1375|snake|뱀
1376|rabbit|토끼
1377|rabbit|토끼
1378|rabbit|토끼
1379|rabbit|토끼
1380|rot worms|썩은 벌레
1381|rot worms|썩은 벌레
1382|rot worms|썩은 벌레
1383|rot worms|썩은 벌레
1384|giant spider|거대 거미
1385|giant spider|거대 거미
1386|giant spider|거대 거미
1387|giant spider|거대 거미
1388|giant spider|거대 거미
1389|giant spider|거대 거미
1390|giant spider|거대 거미
1391|giant spider|거대 거미
1392|gargoyle|가고일
1393|gargoyle|가고일
1394|gargoyle|가고일
1395|gargoyle|가고일
1396|gargoyle|가고일
1397|gargoyle|가고일
1398|gargoyle|가고일
1399|gargoyle|가고일
1400|gargoyle|가고일
1401|gargoyle|가고일
1402|gargoyle|가고일
1403|gargoyle|가고일
1404|gargoyle|가고일
1405|gargoyle|가고일
1406|gargoyle|가고일
1407|gargoyle|가고일
1408|gargoyle|가고일
1409|gargoyle|가고일
1410|gargoyle|가고일
1411|gargoyle|가고일
1412|gargoyle|가고일
1413|gargoyle|가고일
1414|gargoyle|가고일
1415|gargoyle|가고일
1416|gargoyle|가고일
1417|gargoyle|가고일
1418|gargoyle|가고일
1419|gargoyle|가고일
1420|gargoyle|가고일
1421|gargoyle|가고일
1422|gargoyle|가고일
1423|gargoyle|가고일
1424|gargoyle|가고일
1425|gargoyle|가고일
1426|gargoyle|가고일
1427|gargoyle|가고일
1428|gargoyle|가고일
1429|gargoyle|가고일
1430|gargoyle|가고일
1431|gargoyle|가고일
1432|gargoyle|가고일
1433|gargoyle|가고일
1434|gargoyle|가고일
1435|gargoyle|가고일
1436|gargoyle|가고일
1437|gargoyle|가고일
1438|gargoyle|가고일
1439|gargoyle|가고일
1440|gargoyle|가고일
1441|gargoyle|가고일
1442|gargoyle|가고일
1443|gargoyle|가고일
1444|gargoyle|가고일
1445|gargoyle|가고일
1446|gargoyle|가고일
1447|gargoyle|가고일
1448|gargoyle|가고일
1449|gargoyle|가고일
1450|gargoyle|가고일
1451|gargoyle|가고일
1452|acid slug|산성 슬러그
1453|acid slug|산성 슬러그
1454|acid slug|산성 슬러그
1455|acid slug|산성 슬러그
1456|tangle vine|얽힌 덩굴
1457|tangle vine|얽힌 덩굴
1458|tangle vine|얽힌 덩굴
1459|tangle vine|얽힌 덩굴
1460|tangle vine|얽힌 덩굴
1461|tangle vine|얽힌 덩굴
