# Korean book/sign/scroll translations for Ultima 6
# Format: BOOK_NUM|KOREAN_TEXT
# Use \n for line breaks

# === Signs and plaques (0-44) ===
60|얽힌 이야기\n\n    옛날 옛적, 멀리 떨어진 이상한 땅에 마법사의 견습생이 있었습니다. 그의 스승 엘드리치는 그에게 세 가지 탐색을 보냈는데, 현실 세계를 교실로 삼아 교훈을 가장 잘 배울 것임을 알았기 때문입니다. 그는 많은 이상하고 놀라운 것들을 만났습니다. 구울과 그리핀이 그의 길을 막았고, 유령과 거인도 마찬가지였습니다. 하지만 그는 새로운 친구들과 그를 도와줄 용감한 모험가들도 찾았습니다. 그는 날아다니는 양탄자를 타고, 거대한 거북이 등에도 탔습니다. 마침내, 버려진 광산, 피라미드, 구름 속의 성을 탐험한 후, 그는 세 번째 탐색을 마쳤습니다. 여행에서 너무 많은 것을 배워서 스승이 그에게 큰 보상을 주었고, 그를 독립적인 마법사로 선언했습니다. 그는 곧 자신의 학교를 열었고, 세월이 흐르고 학생들이 오고 가면서 그의 수염은 세월과 함께 길어졌습니다.

61|전설의 기사단, 제1권\n\n    옛날, 아쉬탈라레아 왕국에서 큰 전쟁이 있었습니다. 한동안 악의 세력이 승리할 것 같았지만, 그 땅에서 가장 위대한 기사 세갈리온의 용감한 노력으로 암흑 군주 필다르의 세력은 마침내 격퇴되어 패배했습니다. 한동안 모든 것이 평화로웠지만, 몇 년 후 필다르는 다시 강력해졌습니다. 그의 어둠의 탑에서 그는 사악한 계략을 짜고, 공작과 위대한 기사 세갈리온을 사로잡았습니다. 가장 큰 적이 제거되자, 그는 다시 정복 전쟁을 시작할 준비가 되었습니다. 그 어려운 시기에, 위대한 영웅들의 일행이 일어났습니다. 많은 위험한 모험 끝에 그들은 마침내 세갈리온의 감옥으로 가서 그를 풀어주었습니다. 그런 다음 그들은 공작에게 무슨 일이 있었는지 알아내기 위해 출발했습니다...

62|제1암흑시대\n\n    로드 브리티시 통치 초기, 몬데인이라는 강력한 마법사가 브리타니아 땅에 나타났습니다. 그는 마법의 힘으로 많은 사악한 생물들을 불러내어 지배했습니다. 온 땅에 큰 고통이 있었습니다. 이 시기에 아바타가 처음으로 우리 세계에 와서 몬데인을 물리치고 우리 백성을 해방시켰습니다.

63|제2암흑시대\n\n    몬데인이 사라진 후, 마녀 미낙스가 백성들을 위협하는 공포를 불러왔습니다. 그녀는 몬데인의 제자였습니다. 어쩌면 그 이상이었을지도 모릅니다, 함께 쓰던 침실 밖 복도에서 들리던 신음과 비명 소리에 의미가 있다면 말입니다. 그녀는 열정의 힘으로 마법을 부려 죽음과 파괴의 통치를 세웠습니다. 다시 한번 아바타의 귀환만이 억압을 끝낼 수 있었습니다. 미낙스는 몬데인처럼 물리쳐졌습니다.

64|제3암흑시대\n\n    미낙스가 사라지자 20년간 평화가 지속되었습니다. 그러다 몬데인의 마지막 유산이 알려졌습니다. 그와 미낙스가 함께 엑소더스라고만 알려진 불경한 창조물을 만들어냈던 것입니다. 수년간 숨어서 인내심 있게 정보를 모아 힘을 키웠습니다. 마침내 그 노력의 결실을 착취하기로 했습니다. 거대한 성을 만들어 거처로 삼은 엑소더스는 세 번째 괴물 재앙을 불러왔고, 브리타니아 어디도 그 무자비한 악에서 안전하지 않았습니다. 이것은 다른 세계에서 온 영웅에게 가장 큰 도전이었지만, 다시 한번 아바타는 승리했습니다. 엑소더스의 패배와 함께 새로운 번영의 시대가 시작되었습니다.

65|아바타의 탐색\n\n    얼마 전, 마법사 평의회가 여덟 덕목을 기리는 성지를 세워, 온 땅의 사람들이 명상할 수 있게 했습니다. 여덟 덕목과 그 바탕이 되는 세 원칙을 공부함으로써, 악의 삼인조를 물리친 위대한 영웅이 아바타의 길을 걷기 시작했습니다.\n\n 진실로 세 원칙은 진실, 사랑, 용기이며;\n 진실에서 정직이 생겨나고;\n 사랑에서 자비가 생겨나고;\n 용기에서 용맹이 생겨나며;\n 진실과 사랑이 합쳐져 정의가 생겨나고;\n 사랑과 용기가 합쳐져 희생이 생겨나고;\n 용기와 진실이 합쳐져 명예가 생겨나며;\n 진실, 사랑, 용기가 모두 합쳐져 영성이 생겨나고;\n 세 원칙의 부재는 교만의 악덕으로 이어지며, 그 반대인 겸손의 덕목을 생각하게 합니다.\n\n    여덟 덕목의 화신이 되려는 탐색에서, 아바타는 궁극의 지혜서를 되찾았고, 세 원칙과 여덟 덕목으로 이어지는 하나의 근본 개념이 무한임을 발견했습니다. 탐구자여, 이를 깊이 생각하라!

66|운명의 전사들\n\n    아바타가 보여준 빛나는 모범 후에, 브리타니아는 평화와 풍요의 황금시대에 접어들 것 같았습니다. 그런데 큰 비극이 일어났습니다. 브리타니아 땅을 통일하고 역사상 가장 힘든 시기를 이끈 사랑받는 통치자 로드 브리티시가 사라졌습니다. 그는 새로 발견된 지하세계를 탐험하러 갔다가 돌아오지 않았습니다. 많은 사람들이 그가 죽었다고 생각했습니다. 로드 블랙쏜이 그의 부재 중에 통제권을 잡고 질서 유지를 위해 계엄령을 선포했습니다. 같은 시기에 세 그림자군주가 스톤게이트에 나타났습니다. 그들은 강력하고 사악한 존재로, 사람들의 마음을 왜곡하여 세 원칙에서 멀어지게 할 수 있었습니다. 그들이 "소용돌이의 힘"을 이용해 왕국 어디든 순간이동할 수 있었다고 합니다. 어두운 시기였습니다. 아바타가 브리타니아로 다시 소환되어, 결국 지하세계가 붕괴하기 전에 로드 브리티시를 구출하여 그를 왕좌에 복귀시켰습니다.

67|바람걷이\n\n    이국적인 칸툰에, 차오 티라는 인자한 황제가 있었습니다. 그는 현명하게 잘 다스렸는데, 그의 군벌 주롱이 사악한 연금술사 셴 장에게서 영약을 얻어 황제를 혼수상태에 빠뜨렸습니다. 영계의 악령들이 온 땅의 성지들을 점령했고, 어두운 시기였습니다. 하지만 작은 수도원에서 무술 수련을 마친 한 젊은 학생이 성지들을 해방하고, 군벌을 물리치고, 불로장생의 영약으로 황제를 치료했습니다. 그의 이름은 칸툰에서 오래도록 기려질 것입니다.

68|프라이탁의 동굴\n\n    프라이탁이라는 거대한 용이 신비의 섬에 나타났고, 백성들 사이에 큰 두려움과 고통이 있었습니다. 어느 날 전사 게르탄이 용의 소굴로 향했는데, 그곳은 이상한 생물들이 사는 거대한 동굴 지대였습니다. 그는 프라이탁을 그 땅에서 몰아냈고, 큰 기쁨이 있었습니다.

69|스닐윗의 보드게임 전략 대백과\n\n 체스: 나이트, 비숍, 폰으로 보드 중앙을 장악하세요. 나인 멘스 모리스: 말이 모서리에 갇히지 않게 하세요. 체커: 말을 보드 가장자리에 두어 잡히지 않게 하세요.

70|꿈과 환상에 대하여\n\n    어떤 이들은 꿈에서 우리의 영혼이 다른 존재의 영역으로 여행한다고 합니다. 다른 이들은 임프와 데몬이 우리 잠을 방해하려고 꿈을 만든다고 합니다. 이제 진실을 알리겠습니다! 꿈은 영계의 메시지입니다. 언젠가 우리는 꿈을 해독하는 법을 배워 큰 이익을 얻을 것입니다.

71|석궁 사격술 - 이올로 피츠오웬 저\n\n    좋은 사격에는 선이 있습니다. 석궁과 하나가 되세요. 화살과 함께 날아가 표적을 맞힌다는 생각 외의 모든 것을 지우세요, 그러면 빗나가지 않을 것입니다.

72|딜잘의 좋은 조언 연감\n\n 도박은 아무것도 아닌 것에서 무언가를 얻는 가장 확실한 방법입니다. 계획된 큰 일보다 실행된 작은 일이 낫습니다. 켄타우로스와는 절대 주사위 놀이를 하지 마세요.

73|식물 전승\n\n 겨우살이는 봄에 가장 쉽게 찾을 수 있습니다. 최대 효과를 위해 왼손으로 가지를 자르세요. 히비스커스 잎으로 목 아픔에 좋은 차를 만들 수 있습니다. 민들레를 밟지 마세요, 그것을 보는 레프러콘이 화를 낼 것입니다.

74|오즈의 마법사 - L. 프랭크 바움\n\n    먼 캔자스 땅에서 온 도로시라는 어린 소녀가 토네이도에 의해 오즈의 나라로 실려 왔습니다. 그녀의 작은 개도요! 그녀는 집으로 돌아갈 길을 찾는 것을 도와주겠다고 맹세한 세 명의 충실한 동료를 만났습니다. 진실을 찾아 떠난 허수아비, 사랑을 찾아 떠난 양철 인간, 용기를 찾아 떠난 사자가 있었습니다. 탐색이 끝나기 전에, 어린 도로시는 사악한 마녀를 죽여 그 땅을 악의 영향에서 해방시켰습니다. 친구들은 탐색을 완수했고, 그녀는 캔자스로 돌아갔습니다.

75|이상한 나라의 앨리스 - 루이스 캐럴\n\n    앨리스는 어느 날 이상한 흰 토끼를 보았습니다. 토끼는 회중시계를 보며 얼마나 늦었는지 걱정하고 있었습니다. 앨리스는 토끼굴을 따라 쫓아갔고, 아주 멀리 떨어졌습니다. 그녀는 이상한 땅에 있었습니다. 그곳에서 미친 모자장수와 겨울잠쥐와 함께 다과회에 갔습니다. 또한 이상한 애벌레와 웃음만 남기고 사라지는 고양이도 만났습니다. 하트의 여왕이 "저 아이 목을 베어라!"라고 외쳤고 경비병들이 앨리스를 잡으러 달려왔습니다 - 그런데 그녀가 깨어나 보니 모두 꿈이었습니다.

76|잃어버린 만트라의 책\n\n    암 킴 룸 벰 무 딤 섬 쿄 라 록스 니드 페이 베 운 오르 우스 카 비프 파우 옴 숨 뱅 리스 자우이 옴 카우 프렘 오르트 룸 스팸 모 얌 티 미아우

# Runic signs (77-94)
77|<선물 찾기>
78|<드루이드에게 줄>
79|<우리의 한 병을 드려보세요>
80|<방부액>
81|<버마 무덤>
82|<지금의 그대가 한때의 나였고>\n <지금의 내가 곧 그대가 될 것이니>\n <이것을 볼 때 죽음을 준비하라>
83|<아내의 생일에>\n\n <랄프는 영리했네>\n\n <영원한 선물 묘비석>\n\n <버마 무덤>
84|<황금빛 소년소녀들도>\n <굴뚝 청소부처럼 먼지가 되리>
85|<이 위대한 음악가는>\n <그저 졸고 있는 게 아니라네>\n <여기 누워있네>\n <분해 중이라네>
86|<여기 존의 시체가 누워있네>\n <우린 그의 머리를 잃었어>\n <하지만 그는 필요 없대>\n <왜냐면 죽었거든>
87|<힌지 녹슬어도>\n\n <사랑하는 이의 관에>\n\n <자주 열 상자가 아니네>\n\n <버마 무덤>
88|<여기 에드라 불린 남자가 누워있네>\n\n <살아서는 그리 시끄럽더니 죽어서는 이리 조용하네>
89|<첫 번째 남편>\n <세드릭 경은 열정의 불로 타올랐네>\n <차가운 단검으로 생이 꺼질 때까지>
90|<두 번째 남편>\n <로데릭은 끔찍한 비명과 함께 세상을 떠났네>\n <누군가 그에게 독이 든 에일을 건넸을 때>
91|<세 번째 남편>\n <월터는 잠자다 세상을 떠났네>\n <그의 마지막 생각은 비밀>\n <죽음이 간직하리라>
92|<네 번째 남편>\n <로저의 태도는 격식 차리고 뻣뻣했지>\n <어느 날 절벽에서 떨어질 때까지>\n <하지만 이제 그의 몸은 따뜻한 주인>\n <구더기와 벌레에게>\n <왜냐면 그는 유령이니>
93|<다섯 번째 남편>\n <마틴은 이 고된 세상을 떠났네>\n <끓는 기름 통에 빠졌을 때>
94|<다섯 남편보다 오래 살았지만>\n <이제 베스도 더 이상 살아있지 않네>\n <하지만 마지막 숨을 거두며>\n <그녀는 죽음을 비웃는 미소를 지었네>

# === Paintings (95-104) ===
95|이 그림은 시작도 끝도 없는 정사각형 계단을 보여줍니다. 양방향을 향한 두건 쓴 수도사들이 여럿 있습니다. 그림을 보니, 그림 속 수도사들이 아주 천천히 움직이며 끝없이 계단을 오르내리고 있습니다.
96|이것은 벽에 걸린 그림의 그림입니다. 그림 속 그림은 연기가 피어오르는 파이프가 허공에 떠있는 모습입니다. 그림 속 액자에는 "이것은 파이프가 아닙니다."라고 적힌 작은 명판이 있습니다.
97|이 그림은 묘하게 익숙한 장면을 보여줍니다. 작은 박물관에서 여러 사람이 벽에 걸린 그림을 바라보며 서 있습니다. 그들의 뒷모습만 보입니다. 당신이 머리를 긁으려고 손을 올리자, 그림 속 인물 중 하나도 같은 동작을 합니다. 당신입니다! 이 그림은 거울처럼 앞에서 일어나는 모든 것을 보여주지만, 반대편 벽에 걸린 것처럼 모든 것의 뒷면을 보여줍니다.
98|이것은 매우 화려한 당신의 초상화입니다. 액자 하단에는 작은 명판에 간단히 "아바타"라고 적혀 있습니다. 초상화는 오른쪽 하단에 "우드로프"라는 서명이 있습니다.
99|이것은 유명한 폭스 선장의 그림입니다.
100|이 그림은 저명한 화가 헬렌 개리엇의 작품입니다.
101|이 그림에는 유명한 화가 머스그레이브의 서명이 있습니다.
102|이것은 존경받는 화가 엘모어의 그림입니다.
103|이 그림은 숲의 동물들을 위해 팬파이프를 연주하는 사티로스를 보여줍니다. 재능 있는 모니카 나이튼의 서명이 있습니다.
104|이것은 싸움을 준비하는 호랑이와 용의 그림으로, 비길 데 없는 엘리사 마틴이 그렸습니다.

# === Gargoyle Books (105-113) ===
105|<의식의 서>&\n의식의 서&\n\n <나 낙사틸로르가 어떻게 코덱스를 우리 땅으로 가져와 번영의 시대를 열었는지 잘 들어라: 렌즈 장인의 도움으로 나는 소용돌이 렌즈를 만들어, 코덱스가 원래 있던 곳을 볼 수 있었다. 나는 월석의 힘을 집중시켜 소용돌이를 세상으로 끌어내리기 위해 소용돌이 큐브를 만들었다. 그런 다음 렌즈를 사용하여 큐브 위에 코덱스의 이미지를 형성했다. 소용돌이가 우리 차원에 닿았고, 이미지는 실체가 되었으며, 코덱스는 우리 종족이 제대로 사용하도록 내려왔다!>&\n\n(번역)\n\n나 낙사틸로르가 어떻게 코덱스를 우리 땅으로 가져와 번영의 시대를 열었는지 잘 들어라:*\n 렌즈 장인의 도움으로 나는 소용돌이 렌즈를 만들어, 코덱스가 원래 있던 곳을 볼 수 있었다.*\n 나는 월석의 힘을 집중시켜 소용돌이를 세상으로 끌어내리기 위해 소용돌이 큐브를 만들었다.*\n 그런 다음 렌즈를 사용하여 큐브 위에 코덱스의 이미지를 형성했다.*\n 소용돌이가 우리 차원에 닿았고, 이미지는 실체가 되었으며, 코덱스는 우리 종족이 제대로 사용하도록 내려왔다!&

106|<지하세계의 서>&\n지하세계의 서&\n\n(번역)\n\n땅 깊은 곳에 다른 땅이 있다. 그 땅에는 많은 이상한 생물들이 산다.*\n 그 중 가장 흥미로운 생물은 우리의 날개 없는 자들과 비슷하게 생겼다. 하지만 이 데몬들은 창백하고 연약하다.*\n 어떤 이들은 지하세계의 이 데몬들이 말할 수 있다고 한다. 그리고 분명히, 그들은 우리 언어와 비슷한 소리를 낸다.*\n 하지만 모두가 알듯이, 날개 없는 생물은 진정으로 지적이지 않다. 말하는 데몬에 대한 이야기는 믿을 수 없다.&

107|<행정의 서>&\n행정의 서&\n\n(번역)\n\n수많은 시대 동안, 우리 날개 있는 자들은 날개 없는 자들을 이끌어왔다. 이것은 옳고 적절하다.*\n 하지만 우리는 그들이 우리보다 덜 가치 있지 않다는 것을 항상 기억해야 한다.*\n 머리 없는 몸은 움직일 수 없다. 하지만 다리 없는 몸도 마찬가지다.*\n 무엇이든 이루려면 모두가 하나로 기능해야 한다.*\n 그러니 날개 없는 자들을 인도하고, 그들이 오류의 길에서 벗어나지 않게 하라. 하지만 존중으로 인도하라.&

108|<번영의 서>&\n번영의 서&\n\n(번역)\n\n오래전, 위대한 예언자 낙사틸로르가 코덱스를 세상으로 소환했다. 그렇게 위대한 번영의 시대가 시작되었다.*\n 코덱스는 단일성의 신전에 안치되어, 그 지식이 필요한 자들이 볼 수 있게 되었다.*\n 땅의 예언자들은 낙사틸로르가 이끌어 코덱스를 역장으로 보호했다.*\n 오직 지혜를 위한 신성한 탐색 중인 자들만이 코덱스에 도달하여 읽을 수 있다.*\n 코덱스 안에는 어떤 문제에든 유일하게 옳고 참된 답이 적혀있다. 코덱스에 도달하여 읽고 그 조언을 적절히 해석하기만 하면 된다.*\n 완벽한 지혜와 오류 없는 지식이 있으면, 남은 것은 적절한 길을 따르는 데 필요한 통제, 열정, 근면함을 갖추는 것뿐이다.*\n 이것이 우리 사회의 기반이며, 그래서 우리 종족은 코덱스를 현명하고 잘 사용할 수 있다.*\n 이것이 코덱스가 존재하는 이유다: 가고일 종족을 궁극의 번영으로 이끌기 위해.&

109|<가족의 서>&\n가족의 서&\n\n(번역)\n\n아이가 알에서 부화할 때, 날개 없이 태어난다. 하지만 태어날 때부터 아이가 날개 있는 자가 될지 날개 없는 자가 될지 알 수 있다.*\n 날개 없는 자들은 말할 수 없고, 날개 있는 자들의 지능이 부족하다. 그들은 인도받아야 한다.*\n 날개 있는 자들은 적지만, 종족의 지능과 지혜를 맡고 있다. 그들은 인도해야 한다.*\n 날개 있는 자와 날개 없는 자 모두 같은 알에서 나오고, 같은 가족에 속한다.*\n 모두가 하나의 전체로 기능하여, 우리 세계에서의 생존 투쟁을 더 잘 유지한다.&

110|<순환의 서>&\n순환의 서&\n\n(번역)\n\n모든 것은 세 원칙에서 시작한다: 통제, 열정, 근면.*\n 통제에서 방향이 나온다. 열정에서 감정이 나온다. 근면에서 지속이 나온다.*\n 하지만 이 세 덕목이 다른 다섯보다 더 중요한 것은 아니다:*\n 통제와 열정이 결합하여 균형을 준다. 열정과 근면이 합쳐 성취를 낳는다. 그리고 근면이 통제와 합쳐 정밀을 제공한다.*\n 통제, 열정, 근면의 부재는 혼돈이다. 그래서 원칙의 부재는 일곱 번째 덕목인 질서를 가리킨다.*\n 세 원칙이 통합되어 단일성을 형성한다. 이것이 여덟 번째 덕목이지만, 또한 첫 번째이기도 하다. 왜냐하면 단일성 안에서 모든 원칙, 그리고 모든 덕목을 찾을 수 있기 때문이다.*\n 원은 끝이 없다. 영원히 계속되며, 모든 부분이 전체의 성공에 동등하게 중요하다.*\n 우리 사회도 마찬가지다. 영원히 계속되며, 모든 구성원(과 모든 덕목)이 통합된 전체의 동등한 부분이다.&

111|<궁극의 지혜서>&\n궁극의 지혜서&

112|<예언의 서>&\n예언의 서&

113|<순환의 서>&\n순환의 서&

# Hawkins grave (114)
114|<여기 호킨스 선장이 누워있다>\n\n <그는 비참하게 죽었고 그럴 만했다>

# Dungeon signs (115-119)
115|이쪽
116|출입 금지
117|저쪽
118|죽음의 미로!
119|떨어져 죽어라!

# Permission letter (120)
120|이 서신을 소지한 자에게 유 시 감옥의 독방을 방문할 수 있는 허가를 부여합니다. 이 허가는 오늘 제 손으로 주어졌습니다. -- 레노라

# More signs (121-127)
121|카피리스탄 고개

122|열기구 제작 계획서.\n\n 먼저 여러 승객을 태울 수 있을 만큼 큰 버드나무 열기구 바구니를 만들어야 합니다. 그런 다음 열기를 발생시킬 불을 담을 큰 철 가마솥이 필요합니다. 다음으로 열기를 담을 거대한 실크 주머니를 꿰매야 합니다. 마지막으로, 풍선을 바구니에 단단히 묶을 충분한 밧줄을 구하세요. 이 모든 것을 모으면, 이 계획서를 사용하여 조립하세요. 열기구를 타고 날 때, 배의 닻이 가장 좋은 밸러스트이며, 원하는 곳과 시간에 열기구를 멈추는 데도 유용합니다.

123|<소용돌이 렌즈>&\n소용돌이 렌즈&

124|<소용돌이 큐브>&\n소용돌이 큐브&

125|<단일성의 제단>&\n단일성의 제단&

126|영성의 서\n\n 인생을 여행하면서, 영성이 모든 덕목의 총합을 구현한다는 것을 항상 기억하세요. 영성에 대해 명상하며 만트라 "옴"을 외우세요, 그러면 모든 것이 명확해질 것입니다.

127|언제나처럼, 코덱스는 당신이 필요로 하는 정확한 정보가 있는 페이지로 열려 있습니다.\n*\n "코덱스를 소용돌이로 되돌리려면, 볼록 렌즈를 코덱스와 단일성의 불꽃 정확히 중간에 놓아, 불꽃의 빛이 코덱스에 수렴하게 하세요. 오목 렌즈를 코덱스와 무한의 불꽃 사이에 놓아, 그 빛이 코덱스 위로 발산하게 하세요. 그런 다음 소용돌이 큐브 안에 여덟 개의 월석을 놓으세요. 코덱스 앞 땅에 놓고, 그것을 사용하여 코덱스를 원래 있던 곳으로 되돌리세요."
